1926,Wava,F,54
1926,Dorlene,F,19
1926,Ruthel,F,11
1926,Florian,F,7
1926,Doloros,F,5
1926,Alphonse,M,221
1926,Ronnie,M,28
1926,Ples,M,13
1926,Ander,M,7
1926,Elise,M,5
1927,Vada,F,161
1927,Aubrey,F,28
1927,Annelle,F,13
1927,Ysabel,F,9
1927,Kazuye,F,6
1927,Verga,F,5
1927,Jarvis,M,53
1927,Wash,M,18
1927,Darol,M,9
1927,Hilburn,M,6
1928,Blanche,F,1426
1928,Leo,F,44
1928,Margert,F,17
1928,Verlee,F,10
1928,Trannie,F,7
1928,Manette,F,5
1928,Cyrus,M,79
1928,Cephus,M,20
1928,Elija,M,10
1928,Ardie,M,6
1928,Worthy,M,5
1929,Vivienne,F,54
1929,Meriam,F,18
1929,Etsuko,F,10
1929,Runette,F,7
1929,Luis,F,5
1929,Milan,M,76
1929,Umberto,M,20
1929,Ramsey,M,10
1929,Harly,M,6
1930,Laverne,F,1096
1930,Vertie,F,41
1930,Montana,F,16
1930,Henri,F,9
1930,Elizibeth,F,6
1930,Telitha,F,5
1930,Earlie,M,52
1930,Julia,M,16
1930,Masami,M,9
1930,Ronold,M,6
1931,Corrine,F,281
1931,Neomia,F,29
1931,Mitsuko,F,13
1931,Magda,F,8
1931,Barry,F,5
1931,Russel,M,187
1931,Loyce,M,25
1931,Lindley,M,11
1931,Bartow,M,6
1932,Constance,F,2492
1932,Earl,F,42
1932,Maisie,F,16
1932,Dolorese,F,9
1932,Glades,F,6
1932,Zonie,F,5
1932,Isadore,M,44
1932,Ancel,M,14
1932,Lothar,M,8
1932,Haydn,M,5
1933,Lovie,F,83
1933,Vennie,F,21
1933,Cornelius,F,10
1933,Vastie,F,7
1933,Pallie,F,5
1933,Lauren,M,52
1933,Ferrel,M,15
1933,Iver,M,8
1933,Gurvis,M,5
1934,Garnet,F,89
1934,Azzie,F,20
1934,Sammye,F,11
1934,Nelson,F,7
1934,Madrene,F,5
1934,Bernice,M,69
1934,Creighton,M,17
1934,Verdon,M,9
1934,Burch,M,5
1935,Caryl,F,150
1935,Glen,F,24
1935,Maryan,F,12
1935,Fleeta,F,7
1935,Joeanna,F,5
1935,Santiago,M,86
1935,Neill,M,19
1935,Liborio,M,9
1935,Woodward,M,6
1936,Saundra,F,170
1936,Michelina,F,25
1936,Rozetta,F,12
1936,Fronnie,F,7
1936,Ivalou,F,5
1936,Kirby,M,82
1936,West,M,18
1936,Allard,M,8
1936,Clent,M,5
1937,Margot,F,126
1937,Hildegarde,F,23
1937,Deola,F,11
1937,Jeanet,F,7
1937,Lamar,F,5
1937,Rayburn,M,79
1937,Mortimer,M,18
1937,Welby,M,9
1937,Edwyn,M,5
1938,Maurine,F,110
1938,Alethia,F,22
1938,Inis,F,11
1938,Jeaneen,F,7
1938,Kary,F,5
1938,Carlo,M,82
1938,Lyn,M,18
1938,Anita,M,8
1938,Drewey,M,5
1939,Jerrie,F,117
1939,Remona,F,23
1939,Darleene,F,11
1939,Lissie,F,7
1939,Lonzetta,F,5
1939,Lincoln,M,78
1939,Ival,M,17
1939,Emily,M,8
1939,Garney,M,5
1940,Charmaine,F,97
1940,Fae,F,22
1940,Shella,F,11
1940,Loveda,F,7
1940,Kelley,F,5
1940,Otha,M,80
1940,Alpha,M,17
1940,Berle,M,8
1940,Hyram,M,5
1941,Nila,F,92
1941,Vallie,F,22
1941,Jeanice,F,11
1941,Jacquiline,F,7
1941,Lajune,F,5
1941,Coleman,M,86
1941,Hiawatha,M,18
1941,Amadeo,M,8
1941,Esker,M,5
1942,Lona,F,129
1942,Roxana,F,26
1942,Woodie,F,13
1942,Rachele,F,8
1942,Armilda,F,5
1942,Ramon,M,454
1942,Finis,M,30
1942,Carvin,M,11
1942,Con,M,6
1943,Jill,F,811
1943,Laureen,F,43
1943,Shelvia,F,17
1943,Viann,F,10
1943,Berdena,F,6
1943,Robertta,F,5
1943,Fritz,M,59
1943,Hulon,M,16
1943,Mart,M,8
1943,Melchor,M,5
1944,Sidney,F,85
1944,Judee,F,22
1944,Geraline,F,11
1944,Georgi,F,7
1944,Gwynda,F,5
1944,Garrett,M,110
1944,Derwood,M,19
1944,Onesimo,M,9
1944,Even,M,5
1945,Enid,F,121
1945,Joanie,F,25
1945,Ladean,F,12
1945,Almarie,F,7
1945,Clydine,F,5
1945,Murray,M,189
1945,Rance,M,22
1945,Darren,M,9
1945,Dezzie,M,5
1946,Ginny,F,147
1946,Camellia,F,29
1946,Francia,F,14
1946,Virgene,F,9
1946,Henryetta,F,6
1946,Veleta,F,5
1946,Sherrill,M,49
1946,Clemens,M,14
1946,Craven,M,7
1946,Tennis,M,5
